id,quality
222,5
1514,5
417,5
754,5
516,5
1120,5
180,5
82,5
632,5
592,5
501,7
1586,7
1096,5
1101,5
1488,5
700,5
631,5
1022,5
1420,5
882,5
1170,5
911,6
124,5
1417,7
681,5
63,5
1010,5
418,5
399,5
1265,5
999,5
452,5
347,7
778,5
607,5
32,5
511,5
1035,5
1270,5
723,7
838,7
485,5
142,7
1470,5
1238,5
158,5
426,5
344,7
637,5
1578,5
944,5
469,5
148,5
279,7
1144,5
509,5
1073,5
1423,5
280,7
848,5
650,5
1092,5
76,5
1302,7
1148,5
100,5
533,5
1328,5
253,5
1344,5
544,7
352,5
1367,7
1300,5
635,5
750,5
1479,5
476,5
1355,5
546,7
196,5
1210,5
43,4
1013,5
1378,5
471,5
1410,5
1004,5
740,5
697,5
127,5
1069,5
1319,4
741,5
626,5
621,5
1195,5
339,7
556,5
162,5
1555,5
695,7
457,5
1045,5
12,5
524,5
489,5
453,5
1282,5
423,7
290,7
744,5
435,5
955,5
1055,5
819,5
302,5
455,5
1274,5
710,5
1568,5
72,5
156,5
86,5
1252,5
1280,5
1130,5
1499,5
1434,4
564,5
1559,5
396,5
1081,5
293,5
652,7
1312,5
120,5
220,5
1391,5
1324,5
492,7
427,5
596,5
771,5
538,5
107,6
1436,5
193,5
1370,4
843,5
506,7
388,5
197,7
655,5
1508,5
799,5
194,5
1414,7
1059,5
1487,4
565,5
1333,5
1250,5
871,5
421,5
1336,5
1224,7
813,5
249,4
721,5
1026,5
781,5
808,5
809,5
111,5
766,5
1070,7
497,7
292,5
1529,5
1060,5
56,5
42,5
1535,5
190,5
79,6
1219,7
1384,5
269,7
833,5
1379,5
551,5
947,5
3,5
934,5
749,5
1553,5
1036,5
1107,7
1168,5
1577,5
1291,5
578,5
85,5
1089,5
366,5
90,5
752,5
1590,7
617,7
146,5
241,5
790,5
1116,5
392,5
770,5
395,5
306,5
416,5
512,5
729,5
1415,6
677,5
793,5
94,5
466,5
96,5
325,5
1359,5
16,5
1076,5
900,5
1556,5
1057,5
877,5
953,5
1400,5
1127,5
260,5
608,5
1549,5
376,7
1048,7
1485,5
1471,5
1110,5
1493,5
1019,5
1078,5
1152,5
1395,5
1277,5
1321,7
1234,5
412,5
1111,5
335,4
1526,5
2,5
6,5
1281,5
745,5
1008,5
298,4
415,6
736,5
679,5
1220,5
439,5
989,5
500,5
1053,7
611,5
1335,5
595,5
361,7
35,5
1237,5
67,5
155,5
80,5
1147,5
296,5
170,5
1439,5
946,7
